entid,region_id,entertype_tax,industry_tax,registertype,economic_type,incometax_rate,collection_type,EMPNUM,year
700519778,7,,,20,1331,,2,3.0,2016.0
700519778,7,,,20,1327,,2,3.0,2015.0
700519778,7,,,9,1331,0.25,2,3.0,2017.0
63599505,13,0.0,2.0,9,258,0.25,0,6.0,
63599505,13,,,9,1013,,2,11.0,2016.0
63599505,13,,,9,1016,,2,3.0,2015.0
63599505,13,,,20,1013,0.25,2,12.0,2017.0
936946450,7,0.0,2.0,20,306,0.25,0,2.0,
936946450,7,,,20,1031,,2,2.0,2016.0
936946450,0,,,20,1018,,2,2.0,2015.0
936946450,7,,,20,1031,0.25,2,2.0,2017.0
128394214,10,,,16,1187,,2,30.0,2016.0
128394214,3,,,10,1186,,2,30.0,2015.0
727562195,26,,,9,1252,,2,6.0,2016.0
727562195,26,,,9,1244,,2,2.0,2015.0
727562195,26,,,9,1303,0.25,2,2.0,2017.0
1019356929,8,0.0,2.0,9,258,0.25,0,1.0,
1019356929,8,,,9,1017,,2,2.0,2016.0
1019356929,8,,,9,1016,,2,2.0,2015.0
1224300556,10,0.0,2.0,20,423,0.25,0,4.0,
1224300556,10,,,20,1251,,2,12.0,2016.0
1224300556,10,,,20,1251,,2,5.0,2015.0
1224300556,10,,,20,1251,0.25,2,12.0,2017.0
1183518695,7,0.0,2.0,9,406,0.25,0,1.0,
1183518695,7,,,9,1204,,2,5.0,2016.0
1183518695,7,,,9,1204,,2,5.0,2015.0
1183518695,7,,,9,1204,0.25,2,5.0,2017.0
377777415,10,0.0,2.0,20,258,0.25,0,13.0,
377777415,10,,,20,1017,,2,11.0,2016.0
377777415,10,,,20,1016,,2,3.0,2015.0
377777415,10,,,20,1017,0.25,2,10.0,2017.0
736207319,10,0.0,2.0,20,450,0.25,0,6.0,
736207319,10,,,20,1326,,2,2.0,2016.0
736207319,10,,,20,1326,,2,2.0,2015.0
1064523106,20,,,9,1072,,2,1.0,2016.0
1064523106,20,,,9,1018,,2,1.0,2015.0
1064523106,20,,,9,1072,0.25,2,3.0,2017.0
977997718,15,0.0,2.0,20,455,0.25,0,4.0,
977997718,15,,,20,1331,,2,1.0,2016.0
977997718,15,,,20,1331,,2,2.0,2015.0
512686460,7,0.0,1.0,9,225,0.25,0,10.0,
512686460,7,,,9,851,,2,20.0,2016.0
512686460,7,,,9,851,,2,20.0,2015.0
512686460,7,,,9,851,0.25,2,20.0,2017.0
711843304,10,0.0,2.0,20,437,0.25,0,1.0,
711843304,10,,,20,1272,,2,3.0,2016.0
711843304,10,,,20,1272,,2,3.0,2015.0
711843304,10,,,9,1272,0.25,2,3.0,2017.0
94772802,16,0.0,2.0,9,306,0.25,0,1.0,
94772802,16,,,9,1072,,2,8.0,2016.0
94772802,23,,,9,1018,,2,8.0,2015.0
94772802,23,,,9,1072,0.25,2,8.0,2017.0
756146602,12,0.0,2.0,9,258,0.25,0,2.0,
756146602,12,,,9,999,,2,2.0,2016.0
756146602,0,,,9,1016,,2,2.0,2015.0
24530863,3,0.0,2.0,20,415,0.25,1,8.0,
24530863,3,,,9,1275,,2,2.0,2016.0
24530863,3,,,9,1244,,2,8.0,2015.0
1074283757,15,,,9,1332,,2,2.0,2016.0
996056694,3,0.0,2.0,9,258,0.25,0,2.0,
996056694,3,0.0,2.0,9,258,0.25,0,,
996056694,3,,,9,1016,,2,2.0,2015.0
667474405,9,0.0,2.0,20,418,0.25,0,5.0,
667474405,9,,,20,1245,,2,2.0,2016.0
667474405,9,,,20,1245,,2,5.0,2015.0
667474405,9,,,20,1302,0.25,2,5.0,2017.0
572174664,14,0.0,2.0,9,358,0.25,0,1.0,
572174664,14,,,9,1111,,2,1.0,2016.0
572174664,14,,,9,1110,,2,2.0,2015.0
572174664,14,,,9,1111,0.25,2,2.0,2017.0
1077801639,7,0.0,2.0,20,463,0.25,0,1.0,
1077801639,7,,,20,1366,,2,2.0,2016.0
1077801639,7,,,20,1361,,2,4.0,2015.0
1077801639,7,,,20,1366,0.25,2,2.0,2017.0
34944276,3,0.0,2.0,20,425,0.25,0,131.0,
34944276,3,,,20,1253,,2,2.0,2016.0
34944276,3,,,20,1253,,2,2.0,2015.0
34944276,3,,,20,1253,0.25,2,2.0,2017.0
837618366,10,0.0,2.0,9,258,0.25,0,2.0,
837618366,10,,,9,993,,2,2.0,2016.0
837618366,10,,,9,1016,,2,2.0,2015.0
837618366,10,,,9,993,0.25,2,2.0,2017.0
1020606618,10,0.0,2.0,9,415,0.25,0,2.0,
1020606618,10,,,9,1271,,2,1.0,2016.0
1020606618,0,,,9,1244,,2,5.0,2015.0
1020606618,10,,,20,1271,0.25,2,1.0,2017.0
156571345,7,0.0,2.0,20,306,0.25,0,4.0,
156571345,7,,,20,1041,0.25,2,1.0,2017.0
345561423,15,0.0,2.0,9,444,0.25,0,1.0,
345561423,15,,,9,1326,,2,1.0,2016.0
345561423,15,,,9,1312,,2,12.0,2015.0
345561423,15,,,9,1326,0.25,2,1.0,2017.0
939814738,10,0.0,2.0,9,415,0.25,0,2.0,
939814738,10,,,9,1253,,2,2.0,2016.0
939814738,10,,,9,1244,,2,5.0,2015.0
939814738,10,,,9,1253,0.25,2,5.0,2017.0
1082932753,10,0.0,2.0,20,306,0.25,0,5.0,
1082932753,10,0.0,2.0,20,306,0.25,0,,
1082932753,10,,,20,1018,,2,3.0,2016.0
1082932753,10,,,20,1018,,2,3.0,2015.0
1082932753,23,,,20,1018,0.25,2,1.0,2017.0
160220282,13,0.0,2.0,9,410,0.25,0,1.0,
160220282,13,,,9,1239,,2,1.0,2016.0
160220282,13,,,9,1237,,2,1.0,2015.0
160220282,13,,,20,1239,0.25,2,1.0,2017.0
978389836,13,0.0,2.0,9,451,0.25,0,2.0,
978389836,13,,,9,1331,,2,1.0,2016.0
978389836,13,,,9,1327,,2,2.0,2015.0
711042749,10,0.0,2.0,9,444,0.25,0,4.0,
711042749,10,,,9,1320,,2,8.0,2016.0
711042749,0,,,9,1312,,2,3.0,2015.0
711042749,10,,,9,1320,0.25,2,1.0,2017.0
721349596,7,0.0,2.0,9,451,0.25,0,1.0,
721349596,7,,,9,1331,,2,1.0,2016.0
721349596,0,,,9,1327,,2,4.0,2015.0
761992375,7,0.0,2.0,9,321,0.25,0,1.0,
761992375,7,,,9,1037,,2,1.0,2016.0
761992375,7,,,9,1037,,2,3.0,2015.0
761992375,7,,,9,1037,0.25,2,3.0,2017.0
22426018,11,0.0,2.0,20,415,0.25,0,2.0,
22426018,11,0.0,2.0,20,415,0.25,0,,
22426018,11,,,20,1271,,2,2.0,2016.0
22426018,11,,,20,1244,,2,2.0,2015.0
22426018,11,,,20,1271,0.25,2,2.0,2017.0
586896526,15,0.0,2.0,3,342,0.25,0,7.0,
586896526,15,,,3,1072,,2,7.0,2016.0
586896526,15,,,3,1072,,2,10.0,2015.0
586896526,15,,,3,1072,0.25,2,10.0,2017.0
455646733,22,0.0,2.0,9,444,0.25,0,2.0,
455646733,22,,,9,1324,,2,2.0,2016.0
455646733,14,,,9,1312,,2,10.0,2015.0
1101235900,8,0.0,2.0,9,491,0.25,0,1.0,
1101235900,8,,,9,1414,,2,3.0,2016.0
1101235900,8,,,9,1414,,2,3.0,2015.0
552558684,13,0.0,2.0,20,252,0.25,0,5.0,
552558684,13,,,20,915,,2,10.0,2016.0
552558684,13,,,20,915,,2,2.0,2015.0
552558684,13,,,20,915,0.25,2,2.0,2017.0
348873720,8,,,9,1252,,2,3.0,2016.0
348873720,0,,,9,1244,,2,3.0,2015.0
569102406,13,0.0,1.0,9,155,0.25,0,3.0,
569102406,13,,,9,735,,2,3.0,2016.0
569102406,13,,,9,730,,2,4.0,2015.0
569102406,13,,,20,735,0.25,2,4.0,2017.0
991275528,8,0.0,2.0,9,415,0.25,0,1.0,
991275528,8,,,9,1254,,2,2.0,2016.0
991275528,0,,,9,1244,,2,2.0,2015.0
848540141,8,0.0,2.0,9,258,0.25,0,1.0,
848540141,8,,,9,1017,,2,2.0,2016.0
848540141,0,,,9,1016,,2,2.0,2015.0
292313361,26,0.0,2.0,2,342,0.25,0,1.0,
292313361,26,,,2,1072,,2,1.0,2016.0
292313361,26,,,2,1072,,2,2.0,2015.0
305076413,7,0.0,2.0,20,420,0.25,0,3.0,
305076413,7,,,20,999,,2,5.0,2016.0
305076413,7,,,20,1248,,2,5.0,2015.0
305076413,7,,,20,999,0.25,2,5.0,2017.0
1127907248,12,0.0,2.0,20,344,0.25,0,2.0,
1127907248,12,,,20,1103,,2,2.0,2016.0
1127907248,12,,,20,1098,,2,5.0,2015.0
1127907248,12,,,20,1103,0.25,2,2.0,2017.0
97447481,7,0.0,2.0,20,306,0.25,0,1.0,
97447481,7,,,9,1248,,2,75.0,2016.0
97447481,7,,,9,1248,0.25,2,1.0,2017.0
211352641,39,,,20,1003,,2,3.0,2016.0
211352641,76,,,20,1003,,2,3.0,2015.0
211352641,75,,,20,1003,0.25,2,12.0,2017.0
492696116,6,0.0,2.0,20,306,0.25,0,8.0,
492696116,6,,,20,1046,,2,8.0,2016.0
492696116,4,,,20,1018,,2,1.0,2015.0
492696116,4,,,20,1046,0.25,2,12.0,2017.0
1154827722,29,0.0,2.0,2,258,0.25,0,1.0,
1154827722,29,,,2,1008,,2,11.0,2016.0
1154827722,29,,,2,1016,,2,11.0,2015.0
1154827722,52,,,2,1008,0.25,2,11.0,2017.0
164756503,7,0.0,2.0,9,451,0.25,0,1.0,
164756503,7,,,9,1331,,2,1.0,2016.0
164756503,0,,,9,1327,,2,3.0,2015.0
684366053,7,0.0,2.0,20,415,0.25,0,1.0,
684366053,7,,,9,1253,,2,5.0,2016.0
684366053,0,,,20,1244,,2,2.0,2015.0
684366053,3,,,20,1253,0.25,2,2.0,2017.0
812637156,7,0.0,2.0,9,306,0.25,0,2.0,
812637156,7,,,9,1072,,2,3.0,2016.0
812637156,0,,,9,1018,,2,3.0,2015.0
84862282,10,0.0,2.0,9,415,0.25,0,1.0,
84862282,10,,,9,1253,,2,1.0,2016.0
84862282,0,,,9,1244,,2,3.0,2015.0
84862282,10,,,9,1253,0.25,2,1.0,2017.0
703724512,72,0.0,1.0,20,155,0.25,0,15.0,
703724512,38,,,20,820,,2,7.0,2016.0
703724512,73,,,20,820,,2,8.0,2015.0
703724512,72,,,20,820,0.25,2,8.0,2017.0
26978690,38,0.0,2.0,9,384,0.25,0,,
178383552,10,0.0,2.0,20,491,0.25,0,2.0,
178383552,10,0.0,2.0,20,491,0.25,0,,
178383552,10,,,20,1414,,2,3.0,2016.0
178383552,10,,,20,1414,,2,3.0,2015.0
178383552,10,,,20,1426,0.25,2,3.0,2017.0
431658066,7,0.0,2.0,20,406,0.25,0,1.0,
431658066,7,,,20,1204,,2,18.0,2016.0
431658066,7,,,20,1204,,2,18.0,2015.0
1053033454,43,,,20,1204,,2,1.0,2016.0
1053033454,89,,,20,1204,0.25,2,2.0,2017.0
1217896556,32,,,20,1361,,2,3.0,2016.0
1217896556,32,,,20,1361,,2,3.0,2015.0
1217896556,75,,,20,1361,0.25,2,4.0,2017.0
46168801,69,0.0,1.0,29,210,0.25,0,3.0,
46168801,37,,,29,837,,2,1.0,2016.0
46168801,70,,,29,837,,2,1.0,2015.0
46168801,69,,,29,837,0.25,2,2.0,2017.0
141835705,37,0.0,1.0,20,133,0.25,0,18.0,
141835705,37,,,20,705,,2,19.0,2016.0
141835705,37,,,20,702,,2,19.0,2015.0
141835705,69,,,20,705,0.25,2,8.0,2017.0
501893092,66,0.0,1.0,20,167,0.25,0,6.0,
501893092,36,,,20,756,,2,13.0,2016.0
501893092,66,,,20,756,,2,13.0,2015.0
501893092,66,,,20,756,0.25,2,4.0,2017.0
908737454,30,0.0,2.0,9,474,0.25,0,1.0,
908737454,30,,,9,1381,,2,4.0,2016.0
908737454,30,,,9,1378,,2,4.0,2015.0
908737454,54,,,9,1426,0.25,2,4.0,2017.0
724805518,92,0.0,2.0,20,415,0.25,0,27.0,
724805518,44,,,20,1253,,2,1.0,2016.0
724805518,92,,,20,1253,0.25,2,2.0,2017.0
8139354,56,0.0,2.0,20,258,0.25,0,9.0,
8139354,31,,,20,1009,,2,17.0,2016.0
8139354,57,,,20,1009,,2,17.0,2015.0
8139354,56,,,20,1009,0.25,2,3.0,2017.0
947405923,47,0.0,2.0,9,239,0.25,0,6.0,
947405923,47,,,9,897,,2,15.0,2016.0
947405923,47,,,9,897,,2,3.0,2015.0
947405923,80,,,9,897,0.25,2,3.0,2017.0
552651300,31,0.0,2.0,9,474,0.25,0,1.0,
552651300,31,,,9,1381,,2,8.0,2016.0
552651300,31,,,9,1378,,2,8.0,2015.0
552651300,56,,,20,1096,0.25,2,8.0,2017.0
1059377169,78,0.0,2.0,9,444,0.25,0,10.0,
1059377169,46,,,9,1326,,2,13.0,2016.0
1059377169,79,,,9,1326,,2,13.0,2015.0
1059377169,78,,,9,1326,0.25,2,13.0,2017.0
85580779,51,0.0,2.0,20,474,0.25,0,1.0,
85580779,28,,,20,1381,,2,1.0,2016.0
85580779,51,,,20,1381,,2,3.0,2015.0
673210675,56,0.0,2.0,20,258,0.25,0,2.0,
673210675,31,,,20,1008,,2,2.0,2016.0
673210675,57,,,20,1008,,2,8.0,2015.0
673210675,56,,,20,1294,0.25,2,2.0,2017.0
189308058,75,0.0,1.0,20,93,0.25,0,3.0,
189308058,39,,,20,638,,2,3.0,2016.0
189308058,77,,,20,638,,2,3.0,2015.0
189308058,75,,,20,638,0.25,2,1.0,2017.0
12950056,32,,,20,1259,,2,5.0,2016.0
12950056,32,,,20,1244,,2,5.0,2015.0
12950056,59,,,20,1306,0.25,2,5.0,2017.0
670419354,37,0.0,2.0,20,241,0.25,0,5.0,
670419354,37,,,20,908,,2,2.0,2016.0
670419354,37,,,20,900,,2,2.0,2015.0
670419354,69,,,20,1216,0.25,2,8.0,2017.0
297715872,56,0.0,2.0,20,258,0.25,0,1.0,
297715872,31,,,20,1328,,2,3.0,2016.0
297715872,57,,,20,1328,,2,3.0,2015.0
297715872,56,,,20,1328,0.25,2,1.0,2017.0
485874089,32,,,20,1237,,2,4.0,2016.0
485874089,59,,,20,1237,0.25,2,1.0,2017.0
159559301,37,0.0,1.0,9,155,0.25,0,8.0,
159559301,37,,,9,747,,2,60.0,2016.0
952414273,80,0.0,2.0,20,258,0.25,0,2.0,
952414273,47,,,20,1010,,2,10.0,2016.0
952414273,82,,,20,1010,,2,10.0,2015.0
952414273,80,,,20,1010,0.25,2,3.0,2017.0
21601934,69,0.0,2.0,20,258,0.25,0,1.0,
21601934,37,,,20,1017,,2,1.0,2016.0
21601934,70,,,20,1017,,2,8.0,2015.0
21601934,69,,,20,1017,0.25,2,1.0,2017.0
815878087,66,0.0,2.0,20,0,0.25,0,29.0,
815878087,36,,,20,511,,2,1.0,2016.0
815878087,68,,,20,511,,2,1.0,2015.0
815878087,66,,,20,511,0.25,2,1.0,2017.0
302679959,75,0.0,2.0,20,258,0.25,0,1.0,
302679959,39,,,20,998,,2,3.0,2016.0
302679959,76,,,20,998,,2,3.0,2015.0
302679959,75,,,20,998,0.25,2,3.0,2017.0
1120056797,66,0.0,2.0,20,0,0.25,0,1.0,
1120056797,36,,,20,510,,2,8.0,2016.0
1120056797,67,,,20,510,,2,8.0,2015.0
1120056797,66,,,20,510,0.25,2,2.0,2017.0
241670337,30,,,9,1326,,2,1.0,2016.0
241670337,54,,,9,1326,0.25,2,1.0,2017.0
184552458,47,,,22,508,,2,10.0,2016.0
184552458,80,,,22,508,0.25,2,60.0,2017.0
81138766,29,0.0,2.0,20,258,0.25,0,3.0,
81138766,29,,,20,1017,,2,3.0,2016.0
81138766,29,,,20,1016,,2,3.0,2015.0
81138766,52,,,20,1017,0.25,2,3.0,2017.0
260626730,84,0.0,1.0,20,45,0.25,1,,
260626730,48,,,20,581,,2,8.0,2016.0
260626730,86,,,20,581,,2,8.0,2015.0
260626730,84,,,20,581,0.25,2,2.0,2017.0
961342330,89,0.0,2.0,20,258,0.25,0,10.0,
961342330,41,,,20,1009,,2,5.0,2016.0
961342330,91,,,20,1009,,2,5.0,2015.0
961342330,89,,,20,1009,0.25,2,8.0,2017.0
403721550,93,0.0,2.0,20,474,0.25,0,2.0,
403721550,40,,,9,1328,,2,1.0,2016.0
403721550,93,,,20,1379,,2,19.0,2015.0
403721550,93,,,9,1328,0.25,2,1.0,2017.0
956574285,84,0.0,2.0,20,258,0.25,0,1.0,
956574285,84,,,20,1017,0.25,2,2.0,2017.0
1062109457,29,,,20,1335,,2,2.0,2016.0
1062109457,52,,,20,1335,0.25,2,1.0,2017.0
1047121478,80,0.0,1.0,3,223,0.25,0,10.0,
834914998,84,0.0,2.0,20,258,0.25,0,1.0,
834914998,48,,,20,998,,2,5.0,2016.0
834914998,86,,,20,998,,2,5.0,2015.0
487421254,75,0.0,1.0,20,194,0.25,0,6.0,
487421254,39,,,20,809,,2,10.0,2016.0
487421254,76,,,20,809,,2,10.0,2015.0
487421254,75,,,20,809,0.25,2,10.0,2017.0
491205937,56,,,9,1418,0.25,2,3.0,2017.0
931778146,46,,,9,1253,,2,2.0,2016.0
931778146,78,,,9,1253,0.25,2,2.0,2017.0
1023074032,80,0.0,2.0,9,415,0.25,0,5.0,
1023074032,47,,,9,1252,,2,6.0,2016.0
1023074032,81,,,9,1252,,2,6.0,2015.0
1023074032,80,,,9,1252,0.25,2,5.0,2017.0
308741165,93,0.0,2.0,20,358,0.25,0,1.0,
308741165,40,,,20,1111,,2,4.0,2016.0
308741165,94,,,20,1111,,2,4.0,2015.0
308741165,93,,,20,1111,0.25,2,1.0,2017.0
133091716,75,0.0,2.0,20,439,0.25,0,1.0,
133091716,39,,,20,1309,,2,3.0,2016.0
133091716,76,,,20,1309,,2,3.0,2015.0
133091716,75,,,20,1309,0.25,2,3.0,2017.0
702865981,30,,,9,1254,,2,3.0,2016.0
702865981,55,,,9,1254,,2,3.0,2015.0
702865981,54,,,9,1254,0.25,2,3.0,2017.0
1097906523,49,0.0,1.0,9,108,0.25,0,24.0,
1097906523,49,,,9,675,,2,54.0,2016.0
1097906523,49,,,9,675,,2,54.0,2015.0
1097906523,87,,,9,675,0.25,2,14.0,2017.0
338893548,69,0.0,2.0,20,258,0.25,0,6.0,
338893548,37,0.0,2.0,20,258,0.25,0,,
338893548,37,,,20,1006,,2,5.0,2016.0
338893548,70,,,20,1006,,2,4.0,2015.0
338893548,69,,,20,1006,0.25,2,5.0,2017.0
720296017,32,0.0,1.0,9,210,0.25,0,1.0,
720296017,32,,,9,837,,2,5.0,2016.0
720296017,32,,,9,832,,2,5.0,2015.0
720296017,59,,,20,953,0.25,2,2.0,2017.0
392017860,48,,,20,1275,,2,3.0,2016.0
392017860,85,,,20,1275,,2,3.0,2015.0
39148313,42,0.0,2.0,20,444,0.25,0,6.0,
39148313,42,,,20,1326,,2,6.0,2016.0
39148313,42,,,20,1312,,2,2.0,2015.0
39148313,95,,,20,1090,0.25,2,2.0,2017.0
694488174,41,0.0,2.0,18,468,0.25,0,8.0,
694488174,41,,,18,1368,,2,8.0,2016.0
962456855,59,0.0,2.0,9,258,0.25,0,15.0,
962456855,32,,,9,974,,2,2.0,2016.0
962456855,60,,,9,974,,2,2.0,2015.0
962456855,59,,,9,974,0.25,2,15.0,2017.0
949622672,37,,,20,1185,,2,2.0,2016.0
949622672,70,,,20,1185,,2,2.0,2015.0
949622672,69,,,20,1185,0.25,2,1.0,2017.0
717142185,93,0.0,2.0,9,258,0.25,0,1.0,
717142185,40,,,9,1010,,2,3.0,2016.0
717142185,94,,,9,1010,,2,3.0,2015.0
717142185,93,,,9,1010,0.25,2,1.0,2017.0
365884653,46,0.0,2.0,9,415,0.25,0,5.0,
365884653,46,,,9,1254,,2,3.0,2016.0
365884653,46,,,9,1244,,2,3.0,2015.0
365884653,78,,,9,1426,0.25,2,4.0,2017.0
812873078,49,,,9,1008,,2,3.0,2016.0
944292542,41,,,9,1207,,2,3.0,2016.0
944292542,40,,,9,1203,,2,3.0,2015.0
944292542,93,,,9,1207,0.25,2,3.0,2017.0
944961774,41,,,20,1008,,2,2.0,2016.0
944961774,63,,,20,1008,0.25,2,2.0,2017.0
683391285,87,,,9,1105,0.25,2,1.0,2017.0
766147192,38,,,20,1012,,2,2.0,2016.0
766147192,74,,,20,1012,,2,2.0,2015.0
766147192,72,,,20,1012,0.25,2,5.0,2017.0
859500880,52,0.0,2.0,20,258,0.25,0,1.0,
859500880,29,,,20,1017,,2,7.0,2016.0
859500880,53,,,20,1017,,2,7.0,2015.0
859500880,52,,,20,1017,0.25,2,2.0,2017.0
280765951,59,0.0,1.0,20,45,0.25,0,17.0,
280765951,32,,,20,571,,2,8.0,2016.0
280765951,61,,,20,571,,2,8.0,2015.0
280765951,59,,,20,571,0.25,2,6.0,2017.0
520307384,45,,,9,1017,,2,2.0,2016.0
520307384,98,,,9,1017,,2,2.0,2015.0
520307384,97,,,9,1017,0.25,2,1.0,2017.0
274480802,42,0.0,2.0,9,444,0.25,0,17.0,
274480802,95,,,9,1324,,2,37.0,2016.0
274480802,42,,,9,1312,,2,30.0,2015.0
274480802,95,,,20,1324,0.25,2,47.0,2017.0
1031468583,36,,,9,1017,,2,5.0,2016.0
645249651,66,0.0,2.0,20,258,0.25,0,5.0,
645249651,36,,,20,993,,2,6.0,2016.0
645249651,67,,,20,993,,2,7.0,2015.0
645249651,66,,,20,993,0.25,2,23.0,2017.0
1132496715,31,,,9,1275,,2,2.0,2016.0
1132496715,58,,,9,1275,,2,2.0,2015.0
1132496715,56,,,9,1275,0.25,2,21.0,2017.0
167371979,75,0.0,1.0,20,197,0.25,0,19.0,
167371979,39,,,20,830,,2,4.0,2016.0
167371979,76,,,20,830,,2,4.0,2015.0
167371979,75,,,20,830,0.25,2,4.0,2017.0
699820954,78,0.0,2.0,10,410,0.25,0,150.0,
699820954,46,,,16,1239,,2,5.0,2016.0
699820954,79,,,10,1239,,2,5.0,2015.0
268918015,95,0.0,2.0,20,415,0.25,0,3.0,
268918015,42,,,20,1254,,2,2.0,2016.0
268918015,96,,,20,1254,,2,3.0,2015.0
268918015,95,,,20,1254,0.25,2,13.0,2017.0
265370615,43,,,9,1017,,2,2.0,2016.0
265370615,98,,,9,1017,,2,2.0,2015.0
265370615,97,,,9,1017,0.25,2,1.0,2017.0
574628572,75,0.0,2.0,20,410,0.25,0,2.0,
574628572,39,,,20,1239,,2,8.0,2016.0
574628572,76,,,20,1239,,2,8.0,2015.0
574628572,75,,,20,1239,0.25,2,2.0,2017.0
249572815,35,0.0,2.0,9,258,0.25,0,5.0,
249572815,41,,,9,1008,,2,5.0,2016.0
249572815,35,,,9,1016,,2,4.0,2015.0
249572815,64,,,9,1008,0.25,2,5.0,2017.0
856300291,38,0.0,2.0,20,474,0.25,0,4.0,
856300291,38,,,20,1381,,2,8.0,2016.0
856300291,38,,,20,1378,,2,8.0,2015.0
856300291,72,,,20,1426,0.25,2,3.0,2017.0
447862792,43,,,20,1005,,2,2.0,2016.0
447862792,90,,,20,1005,,2,3.0,2015.0
447862792,89,,,20,1005,0.25,2,2.0,2017.0
987968279,84,0.0,2.0,20,258,0.25,0,10.0,
987968279,48,,,20,998,,2,5.0,2016.0
987968279,85,,,20,998,,2,5.0,2015.0
987968279,84,,,20,998,0.25,2,4.0,2017.0
877477798,43,,,20,1017,,2,2.0,2016.0
877477798,34,,,20,1016,,2,2.0,2015.0
877477798,63,,,20,1017,0.25,2,2.0,2017.0
118111127,38,0.0,2.0,20,258,0.25,0,8.0,
118111127,38,,,20,1003,,2,6.0,2016.0
118111127,38,,,20,1016,,2,8.0,2015.0
118111127,72,,,20,1003,0.25,2,6.0,2017.0
1095806153,69,0.0,2.0,20,410,0.25,0,4.0,
1095806153,37,,,20,1237,,2,2.0,2016.0
1095806153,71,,,20,1237,,2,2.0,2015.0
1095806153,69,,,20,1237,0.25,2,3.0,2017.0
177706906,50,,,20,1017,,2,1.0,2016.0
177706906,88,,,20,1017,0.25,2,1.0,2017.0
962571330,37,,,20,1206,,2,8.0,2016.0
962571330,69,,,20,1236,0.25,2,11.0,2017.0
840427973,69,0.0,2.0,20,258,0.25,0,2.0,
840427973,37,,,20,1010,,2,4.0,2016.0
840427973,71,,,20,1010,,2,3.0,2015.0
840427973,69,,,20,1010,0.25,2,3.0,2017.0
1086151159,89,0.0,2.0,20,362,0.25,0,36.0,
1086151159,41,,,20,1117,,2,33.0,2016.0
1086151159,91,,,20,1117,,2,33.0,2015.0
1086151159,63,,,20,1117,0.25,2,33.0,2017.0
1079094567,39,0.0,2.0,9,404,0.25,0,72.0,
1079094567,39,,,9,1203,,2,15.0,2016.0
1079094567,39,,,9,1203,,2,15.0,2015.0
1079094567,75,,,9,1203,0.25,2,15.0,2017.0
1203524442,49,0.0,2.0,9,444,0.25,0,7.0,
1203524442,49,,,9,1326,,2,14.0,2016.0
1203524442,49,,,9,1312,,2,2.0,2015.0
1203524442,87,,,9,1326,0.25,2,14.0,2017.0
800606822,139,0.0,2.0,9,258,0.25,0,,
800606822,139,,,20,1008,,2,9.0,2016.0
800606822,139,,,9,998,,2,2.0,2015.0
800606822,139,,,20,1008,0.25,2,5.0,2017.0
392864293,89,0.0,2.0,20,258,0.25,0,9.0,
392864293,41,,,20,1012,,2,5.0,2016.0
392864293,91,,,20,1012,,2,5.0,2015.0
392864293,89,,,20,1012,0.25,2,5.0,2017.0
1127245280,212,0.0,2.0,9,444,0.25,0,,
1127245280,210,,,9,1314,,2,19.0,2016.0
1127245280,219,,,9,1314,,2,25.0,2015.0
1127245280,219,,,9,1314,0.25,2,11.0,2017.0
338875772,157,,,20,1017,,2,3.0,2016.0
338875772,157,,,20,1017,,2,3.0,2015.0
1088273481,141,0.0,2.0,9,14,0.25,0,,
1088273481,141,,,9,522,,2,2.0,2016.0
1088273481,141,,,9,522,,2,2.0,2015.0
1088273481,141,,,9,522,0.25,2,1.0,2017.0
762050375,220,0.0,1.0,1,225,0.25,0,,
762050375,220,,,1,851,,2,9.0,2016.0
762050375,220,,,1,851,,2,16.0,2015.0
762050375,220,,,1,851,0.25,2,9.0,2017.0
284244015,80,0.0,2.0,20,24,0.25,0,1.0,
284244015,47,,,20,541,,2,2.0,2016.0
284244015,81,,,20,541,,2,2.0,2015.0
284244015,80,,,20,541,0.25,2,1.0,2017.0
1003480802,123,0.0,2.0,9,258,0.25,0,,
1003480802,123,,,9,1012,,2,13.0,2016.0
1003480802,123,,,9,1012,,2,8.0,2015.0
1003480802,123,,,9,1012,0.25,2,12.0,2017.0
560175019,124,0.0,2.0,9,258,0.25,0,,
560175019,124,,,9,978,,2,10.0,2016.0
560175019,124,,,9,978,,2,10.0,2015.0
560175019,124,,,9,978,0.25,2,6.0,2017.0
305843161,148,0.0,2.0,20,258,0.25,0,,
305843161,148,,,20,1017,,2,3.0,2016.0
305843161,148,,,20,1017,,2,6.0,2015.0
305843161,148,,,9,1017,0.25,2,3.0,2017.0
940768676,104,0.0,2.0,9,455,0.25,0,,
940768676,104,,,9,1331,,2,3.0,2016.0
940768676,106,,,9,1331,,2,3.0,2015.0
940768676,106,,,20,1331,0.25,2,9.0,2017.0
443581905,64,0.0,2.0,20,258,0.25,0,4.0,
443581905,35,,,20,998,,2,4.0,2016.0
443581905,65,,,20,998,,2,4.0,2015.0
443581905,64,,,9,998,0.25,2,1.0,2017.0
313675833,246,0.0,2.0,9,426,0.25,1,,
313675833,246,,,9,1254,,2,10.0,2016.0
313675833,246,,,9,1254,0.25,2,2.0,2017.0
994360260,30,,,9,1072,,2,2.0,2016.0
994360260,55,,,9,1072,,2,2.0,2015.0
994360260,54,,,9,1072,0.25,2,1.0,2017.0
128440111,123,0.0,2.0,9,436,0.25,0,,
128440111,123,,,20,1271,,2,2.0,2016.0
